,image,words,OCR_score
126,among (138).jpg,"[['impostor', '6', '1', 'j', '3'], [0.9999715928569747, 0.8795341107587582, 0.8960020601160892, 0.06104141991111178, 0.9938274799646116]]",0.9999715928569747
13,among (32).jpg,"[[' mong us', 'impostor', ' mong us', 'impos', 'tor'], [0.5408415532038339, 0.9999400242895794, 0.37381091928871696, 0.9994501220297158, 0.9829262187408361]]",0.9999400242895794
14,among (18).jpg,"[['gbmong us', ' ', 'impostor'], [0.16427977290634585, 0.13560256238470547, 0.9999376218583348]]",0.9999376218583348
7,among (13).jpg,"[['impostor', '1', '1', '3'], [0.9998658453133549, 0.8300590602389413, 0.1894104587682941, 0.9980972528289875]]",0.9998658453133549
84,among (37).jpg,"[['impostor', '1', '1', '3', 's'], [0.9955174794211725, 0.9003382208839561, 0.3216556707443239, 0.9467460312140616, 0.261523542861287]]",0.9955174794211725
54,among (71).jpg,"[['impostor'], [0.9944337324834492]]",0.9944337324834492
79,among (84).jpg,"[['1', ' mong', 'qmonc ', 'qmong', ' mon  u5 ', '87', 'l one', 'hhhl', 'impostor', 'you look', 'aeo', 'yu', 'look', '5u5', 'you look', 'yiur  ', 'l', 'amon  ', ' min ', ' birihdo ', 'hrpt t', 'qmong ', 'ihpostu', ' mong ', 'happy brthoa', 'mposiur  ', ' mong', '  mong  ', 'hafrt birthoal', 'ihposir  ', 'trust', 'tts vur e', '   rthpar ', '3s', 'ydu', ' ok', ' ', 'imposton', 'trust'], [0.4289475085921026, 0.27331758431373265, 0.14294440603397818, 0.3243146001055681, 0.05997188079660542, 0.6909326061837718, 0.23349094903577977, 0.10815683007240295, 0.9937584873905115, 0.43399115618592266, 0.0026607893527746326, 0.5868252835999873, 0.7347808480262756, 0.3911205232143402, 0.4604761522557631, 0.026710312726372944, 0.03918494801397632, 0.24341388709329984, 0.1574007688399859, 0.07291564463995191, 0.04422946921086417, 0.31944568778938837, 0.04528180540701891, 0.286764597745116, 0.08772557980023525, 0.04645244122933285, 0.18907040923515372, 0.11117783243781096, 0.02015530762218775, 0.1828527756341217, 0.4411533177458238, 0.056076903527724306, 0.1204188294452518, 0.0627035883270583, 0.3974235795979767, 0.7198090553283691, 0.6693413074717149, 0.8200241446296042, 0.9999769691782173]]",0.9937584873905115
147,among (1).jpg,"[['impostor', '3', ' ', 'i', '1'], [0.7982906357960781, 0.9616295475796086, 0.15533953085739327, 0.3826926688344088, 0.2684112673425467]]",0.7982906357960781
83,among (88).jpg,"[['impostor', '1', 'i', '3', '6'], [0.745935750393722, 0.8929448921526415, 0.03901297417351324, 0.995790748039699, 0.3043138947541344]]",0.745935750393722
68,among (74).jpg,"[['imposton'], [0.797609109796984]]",0.697907971072361
42,among (52).jpg,"[['oua', 'emergency', 'pisauss', 'meeting', 'giong us', 'iem thc', 'mpovo', 'mse', 'repori', 'impostor', 'yjvjdajmi', 'dmitjjm'], [0.17140796034811745, 0.7341865402695981, 0.45579105961063987, 0.9987364374786109, 0.17774689754771733, 0.41065938308200434, 0.2278476171933469, 0.33944028831989437, 0.07267142872337638, 0.6754658548320259, 0.37965466523832436, 0.4907777897562711]]",0.6754658548320259
112,among (99).jpg,"[['am', 'ng us', 'amongus', 'amongus', 'store', '2   ve ', 's', 'amongus', 'eaaa2211', '8', ' ', '3', 'wond ', 'pige', '7', '1', '2  f', '9  ', 'nau', '09513', 'p', '1'], [0.9747391899589531, 0.5153045301933568, 0.165228457992519, 0.7815726548667684, 0.343676161675657, 0.003040376008512533, 0.5604712215756535, 0.38937536116718446, 0.05052294447227304, 0.19670502893365338, 0.14376019395714312, 0.9335058016886819, 0.2677643030991767, 0.4727334145262313, 0.03192199058080747, 0.21918249509946808, 0.10052692890167236, 0.1743469744815433, 0.19580567612300803, 0.1591193707327376, 0.01734293389612973, 0.14949337979015187]]",0.6518941275666356
135,among (146).jpg,"[['impostor', '1', '1', '3'], [0.6131996800051056, 0.8295320659124314, 0.4332620336983304, 0.9833020761892755]]",0.6131996800051056
20,among (25).jpg,"[['wia', 'i m p 0 st 0rs', 'trust me', 'red seems kinda sus', 'sabotage', 'svote', 'emergencu', '2', 'wh830', '9', 'nsus ', '2', 'i', 'impostor '], [0.214485077458915, 0.5174391937928504, 0.7123187396676184, 0.9887694888539975, 0.6102083194968433, 0.814679942898033, 0.4282650886943763, 0.21592688027514217, 0.071358040756912, 0.7855346061196542, 0.028145454715935093, 0.12562372334231497, 0.24820802025832567, 0.6986081487335388]]",0.6112821301418465
39,among (7).jpg,"[['reading th', 'lm', 'ndal', 'wh  didd', 'mpoio', 'imposig', 'us', '4', 'surersus', 'mppovtor', 'c99', 'qmong us', 'who', '15 thbirpos', 'mpasta', 'voje', 'cavong uk', 'you re', 'ukinda', 'suss', '605t', '2nd'], [0.5503388121089847, 0.24004354735864905, 0.3760007619857788, 0.34650384419916486, 0.5307922840890369, 0.8146972746440043, 0.4988817341164584, 0.7576551167817378, 0.05991918854412474, 0.25570110013659997, 0.1430199785751533, 0.24820946335677296, 0.6030484918058643, 0.11734048584570525, 0.9830133129512435, 0.6414945125579834, 0.015035432791038032, 0.4179869526271504, 0.5420174143101756, 0.9725657105445862, 0.15727763453295754, 0.4172837357422507]]",0.5091857966525027
22,among (28).jpg,"[['k', 'o', 'among us', '52', '  ', '1', '1', '3'], [0.29884146324477356, 0.18187984814859703, 0.7266505792205066, 0.6470029872909691, 0.06118915597032783, 0.7877446786545228, 0.3757269530672289, 0.9776820414844032]]",0.4292667395348361
125,among (134).jpg,"[['gig', 'g', '9', 'among us', '9'], [0.21128637303042436, 0.8943455395601383, 0.8583878229785569, 0.2423659187505319, 0.18825281240171776]]",0.41278265314840823
123,among (133).jpg,"[['that s ki', 'sus', 'tho', 'sim', '303', ' u', 'sabota', 'ato ona meha ', 'c', '03', 'cwgwar', 'shaha', 'bruh', 'mlet', ' v', 'check', 'susi', 'ta', 'peek a ', 'impostera'], [0.7739043755392222, 0.96682341500656, 0.5176272100387904, 0.7618948861070681, 0.8601852655410767, 0.5601832370502091, 0.6928975925841699, 0.34227881678730854, 0.47089697518210016, 0.11978262607397144, 0.11835743072600392, 0.6915408948307163, 0.9937922358512878, 0.8700535893440247, 0.498675189328424, 0.7263383484364695, 0.4587174654006958, 0.5928795520476471, 0.8798888515111669, 0.5200453938352191]]",0.3900340453764143
17,among (14).jpg,"[['6', 'store', 'no ', '912613465', 'cri i', '303'], [0.12254170176584367, 0.9997476171615141, 0.6012825151900714, 0.6366415953879849, 0.13022183113419888, 0.3563573658466339]]",0.37490535643556777
19,among (23).jpg,"[['uo', '8', 'us', 'is', 'us', 'qnc', 'us', 'us', 'us', 'us', 'vg us', 'sabouugb', 'us', 'qm', 'omng', ' mg', ' mong', ' mong', 'mong', ' mong ', ' mo', 'mong', ' mong', ' mong', ' mong  ', 'mong', ' mul', ' mong', ' aong ', ' m ', 'onic', 'omong '], [0.1956579870809374, 0.6267488831270072, 0.9569695061868108, 0.8485142327575156, 0.24270060977685518, 0.23686209632716354, 0.9308919614806086, 0.9259675735855947, 0.944760873113741, 0.8014626395693834, 0.3005311211381522, 0.4531782153280927, 0.7577845856440858, 0.2484162448545859, 0.10281392931938171, 0.7673727869987488, 0.2536975517492801, 0.31784972247329696, 0.5680363774299622, 0.14686384899121266, 0.6702366014739044, 0.5442579388618469, 0.3942428484139034, 0.18325857115388625, 0.21788584726986765, 0.8756844997406006, 0.10831610858440399, 0.5858153551288138, 0.3897566836494286, 0.3719034746701784, 0.17194119095802307, 0.1221753723373824]]",0.35076158375612543
28,among (26).jpg,"[[' akuna', 'matata'], [0.8583274901885461, 0.9999442272814378]]",0.24998605682035946
52,among (42).jpg,"[['hktok', 'tiktok', 'gi ', 'tiktok'], [0.1811748495249671, 0.9922949277262888, 0.05026476492169549, 0.9997876608615317]]",0.24994691521538293
103,among (107).jpg,"[[' mong us', 'us', 'look', 'yav', 'look', '5u5', 'm', ' yong ', ' aong  ', 'trust'], [0.20604391413367434, 0.6313027513238436, 0.2037396878004074, 0.1930085352869745, 0.7566240429878235, 0.5969753405366488, 0.33425546305551634, 0.06136612760057245, 0.07824640561699402, 0.999689878332259]]",0.24992246958306474
37,among (46).jpg,"[['sorry', 'not', 'sorry'], [0.979364824117765, 0.9083896484146463, 0.9897880946850863]]",0.22709741210366158
148,among (2).jpg,"[['14cm', '6', '1ocm', ' ', 'ce', 'ehcaglng', 'fcee', '3'], [0.9995874762535095, 0.5212471672041517, 0.8709892630577087, 0.8946930257791088, 0.4508469956815999, 0.6395039242065116, 0.5418623685836792, 0.009218545215836704]]",0.2207102861046022
113,among (122).jpg,"[['hour fakher', ' mung us', 'jng us', 'mooooo', 'xv ', 'definitely', 'k235'], [0.5561443708466174, 0.18013445663133637, 0.3563081310707533, 0.42784713324790846, 0.051608312366560764, 0.7336356889140737, 0.08913729339838028]]",0.16044267496796566
108,among (109).jpg,"[['zogaa', 'eong us', '1', '1'], [0.9379667816487584, 0.25535920800872675, 0.08496386546204135, 0.11817488099063667]]",0.14916574870718563
104,among (110).jpg,"[['nnersloth presents', 'jmong us', 'ql '], [0.12403534740010749, 0.7121092837224221, 0.08168533139093213]]",0.14883649033375393
118,among (127).jpg,"[['dstori', 'ellg us', ' youye', 'dumb', ' susiw'], [0.3920088368529717, 0.06516510978546969, 0.2980280575035986, 0.9455917477607727, 0.16561749199783438]]",0.1470033138198644
26,among (24).jpg,"[[' mong us', '9a'], [0.323331376995228, 0.21278989308182011]]",0.13403031751926203
29,among (36).jpg,"[[' mong us', '9a'], [0.323331376995228, 0.21278989308182011]]",0.13403031751926203
116,among (130).jpg,"[['5', ' stubio', 'do', 'nusucr t', 'unicobn', 'product', 'information'], [0.2036163031916658, 0.5409258786933232, 0.7357625047230288, 0.17309524457933279, 0.4124161930343665, 0.9917981350122631, 0.9998782203930869]]",0.12498477754913587
143,among (153).jpg,"[['im very good', 'at the hit game', 'among us', 'if you don t like it', 'leave', 'ilove my wife   she is never', 'sus', 'which i5 a reference ', 'the hit game', 'ahohg us', 'aiak002 27btore'], [0.4937888188098634, 0.4284550244053561, 0.707712018460806, 0.8059999004755456, 0.9888014227288942, 0.7724401180742692, 0.9989873700826052, 0.1732393894953972, 0.14204709842692306, 0.19614201226865963, 0.15481045396169044]]",0.12487342126032565
25,among (58).jpg,"[['no 1', 'u'], [0.644533097743988, 0.007160160899744028]]",0.12219248599569976
24,among (59).jpg,"[['no 1', 'u'], [0.644533097743988, 0.007160160899744028]]",0.12219248599569976
102,among (108).jpg,"[['3', '6', '1', '1'], [0.7701176553964615, 0.9938096539231687, 0.938245724182142, 0.09653276731068505]]",0.12075346113158192
48,among (56).jpg,"[['3', '6', '1', '1'], [0.7701176553964615, 0.9938096539231687, 0.938245724182142, 0.09653276731068505]]",0.12075346113158192
46,among (57).jpg,"[['3', '6', '1', '1'], [0.7701176553964615, 0.9938096539231687, 0.938245724182142, 0.09653276731068505]]",0.12075346113158192
149,among (151).jpg,"[['gew', 'hppy', 'happy', 'ilovs '], [0.19719077826141337, 0.2237590253353119, 0.929187377584226, 0.10458274556950868]]",0.11614842219802825
41,among (34).jpg,"[['qimi baby', 'sto', '2', '2022', 'hiel', 'hielj', '2022', ' iel', '2022'], [0.3661738523595247, 0.30812930281068107, 0.5653971090249712, 0.914278507232666, 0.27305737137794495, 0.20893208726889279, 0.6149021983146667, 0.45953115820884705, 0.9985731840133667]]",0.1155484885540054
51,among (68).jpg,"[['goig us', '1', '1', '3', 's'], [0.10975973444688052, 0.25854070927393025, 0.5776551616486678, 0.7966049495391623, 0.08043666978623154]]",0.10963020241567423
4,among (6).jpg,"[['goo0', 'nonionu', 'surf son', '6ed', 'mm', 'rtch'], [0.36416882276535034, 0.02297139968046157, 0.6680953905362279, 0.010617190319902114, 0.8762464790864241, 0.395614892244339]]",0.10953080988580301
96,among (100).jpg,"[['us', ' g9g9g', 'awone ', 'pe', '1', '1', '3'], [0.8624271285807673, 0.036728842747069904, 0.01933573402843272, 0.0634346847646365, 0.29764026866382665, 0.13965464718148723, 0.9155425167004729]]",0.10780339107259591
36,among (65).jpg,"[['021', 'p 0 st', 's', '1', '1', '3'], [0.6386155413116322, 0.4018530793681434, 0.8105166328941529, 0.8844263829315082, 0.18817265081696988, 0.7863727846151711]]",0.10593393848910382
34,among (64).jpg,"[['021', 'p 0 st', 's', '1', '1', '3'], [0.6386155413116322, 0.4018530793681434, 0.8105166328941529, 0.8844263829315082, 0.18817265081696988, 0.7863727846151711]]",0.10593393848910382
50,among (51).jpg,"[['mong us'], [0.8194735633880312]]",0.1024341954235039
43,among (54).jpg,"[['ro', 'im p0st0 r'], [0.02574731576898563, 0.19959282756498636]]",0.09979641378249318
49,among (55).jpg,"[['ro', 'im p0st0 r'], [0.02574731576898563, 0.19959282756498636]]",0.09979641378249318
12,among (17).jpg,"[['1', '1', '3', '6'], [0.5682453144334012, 0.5262909905362712, 0.9685117886118668, 0.5591659624583514]]",0.09547985944188864
86,among (91).jpg,"[['1', '1', '3', '6'], [0.5682453144334012, 0.5262909905362712, 0.9685117886118668, 0.5591659624583514]]",0.09547985944188864
120,among (131).jpg,"[['6', 'feee', 'chenging', 'fcee', 'chenging', 'fece', '3', 'chengioa', 'chenaina', 'fece', 'fece'], [0.0834521138587272, 0.6789499521255493, 0.7140660802477726, 0.7794592976570129, 0.8377068862084819, 0.5350157022476196, 0.9642205055121309, 0.6639398843755593, 0.12106981441731353, 0.641663670539856, 0.3382153809070587]]",0.09370226298498441
106,among (112).jpg,"[['1', '1', '1', 'ble', 'bla', 'r bjx', 'blp', 'rpeez', '8', '1', '0ptyo7', 'bld', 'fpyj', '1', ' c28'], [0.864238832135257, 0.6226530219248936, 0.8243641900097742, 0.2426644998074532, 0.3551045561065164, 0.08146345031278814, 0.6287910628188744, 0.6550849882465424, 0.4033303662459389, 0.45041843916102664, 0.030241858104838572, 0.35356821773100355, 0.05049395561218262, 0.15634105600057424, 0.06897809356451035]]",0.09293074087875941
35,among (43).jpg,"[['14cm', '10cm', 'chcngiog', 'fcee'], [0.9942111372947693, 0.7017256021499634, 0.7257807924888668, 0.48151275515556335]]",0.09072259906110836
128,among (141).jpg,"[['tamo014', 'gimung us'], [0.7004199249930122, 0.22343920602677278]]",0.08755249062412652
139,among (140).jpg,"[['tamo014', 'gimung us'], [0.7004199249930122, 0.22343920602677278]]",0.08755249062412652
72,among (77).jpg,"[['tamo014', 'gimung us'], [0.7004199249930122, 0.22343920602677278]]",0.08755249062412652
65,among (70).jpg,"[['want you'], [0.6658846148038682]]",0.08323557685048352
15,among (20).jpg,"[['1', '8', '6', '1'], [0.7004093847658766, 0.28921558430425875, 0.9868073971289029, 0.04189760951567312]]",0.0797514363395726
31,among (45).jpg,"[['  mong us', 'nong'], [0.1331405291718136, 0.6364321112632751]]",0.0795540139079094
21,among (47).jpg,"[['999', '999', '9', '9990'], [0.1484052531924636, 0.8799185817790578, 0.37514166160699247, 0.49645266589733367]]",0.07844126521162814
150,among (154).jpg,"[[' for', 'surf s on', 'f', 'dinsaur expert', 'e', 'fishing', 'troubee '], [0.3029031753540039, 0.4673935616716866, 0.5941146218515456, 0.19758059595507976, 0.15588540123170347, 0.6056099601680914, 0.3744558609236933]]",0.07572579383850098
47,among (67).jpg,"[['emergei'], [0.5849143355716678]]",0.07311429194645848
2,among (5).jpg,"[['i93  ', '4646', '3', 'ssis', ' ', '1', '8'], [0.012850255860185946, 0.01623999886214733, 0.8747963337884954, 0.2816522717475891, 0.4004622214238793, 0.7514959181679757, 0.18835166737568443]]",0.07227803784600528
146,among (157).jpg,"[['m p 0sst0 r', '3', ' ', 'i', '1'], [0.26261297696212804, 0.9616295475796086, 0.15533953085739327, 0.3826926688344088, 0.2684112673425467]]",0.06981056740231262
90,among (94).jpg,"[['ebengiog', 'fece'], [0.5297832617977637, 0.46792224049568176]]",0.06622290772472046
71,among (31).jpg,"[['press t0 make a sound', '0', '6'], [0.7981435380759254, 0.9068988124827371, 0.13045762849728604]]",0.06483477756125144
133,among (145).jpg,"[[' ioda', 'dumpungs', 'edsuy', 'darr', 'i'], [0.18184950262641528, 0.5128804945876149, 0.26969120857509193, 0.39482372999191284, 0.40115345722270845]]",0.06411006182345186
134,among (147).jpg,"[['05', '65', 'r5'], [0.19858294855276412, 0.6326830910651586, 0.3235969577987833]]",0.05976750305399637
145,among (156).jpg,"[[' uong '], [0.46740653319042363]]",0.058425816648802954
40,among (38).jpg,"[['ebengiog', 'fece'], [0.46710575461110926, 0.5811263918876648]]",0.05838821932638866
45,among (49).jpg,"[['3', '3'], [0.07034737975214345, 0.8210874845111817]]",0.055714679016457824
16,among (11).jpg,"[['14', '006', '5 ', '5'], [0.11996399449570448, 0.3690580216058863, 0.10461729104189316, 0.7843334438423746]]",0.05555942093026674
57,among (27).jpg,"[['8', ' ', ' ', '20cm  7  8inch '], [0.8394260115704952, 0.04423937105596942, 0.03716374460447369, 0.9283542208715891]]",0.05522908641415404
127,among (139).jpg,"[['amongus', 'amengus', '30470348', 'amangu', 'amangl', 'amengus', 'shhhi'], [0.17567557443373535, 0.18741025256196334, 0.24606162834697523, 0.12175474750445768, 0.21421435573850708, 0.3834000634868108, 0.9663967138361553]]",0.04792500793585135
122,among (135).jpg,"[['reversible ', 'k', '9', 'reversiblei', 'reversiblei', 'reversiblei', '6 '], [0.5398691113428028, 0.41809596397266446, 0.29719119388426546, 0.4780361750973182, 0.6918235871072878, 0.6831346282243134, 0.14098866707170965]]",0.044705447366058124
97,among (97).jpg,"[['among us figures set', '9 ', 'nzw'], [0.9363764142739848, 0.5650618205712332, 0.049102477479578854]]",0.038385268628175755
92,among (96).jpg,"[['among us figures set', '9 ', 'nzw'], [0.9363764142739848, 0.5650618205712332, 0.049102477479578854]]",0.038385268628175755
137,among (148).jpg,"[['among us figures set', '9 ', 'nzw'], [0.9363764142739848, 0.5650618205712332, 0.049102477479578854]]",0.038385268628175755
63,among (39).jpg,"[['5 ', 'd'], [0.027078619907954387, 0.38840892205156763]]",0.025967971372470127
88,among (19).jpg,"[['u51', 'mna', ' mokg', 'irg ', 'cs', 'kn ', 'pdldr'], [0.10876449772780981, 0.0821625364556044, 0.09931387278852088, 0.003709157695993781, 0.040513458998820265, 0.3137070738849838, 0.07369065551242723]]",0.02482846819713022
10,among (15).jpg,"[['flim', '1', 'huva', '3'], [0.23312455415725708, 0.1274333983079865, 0.2662457823753357, 0.029142167771042615]]",0.022534872029077724
110,among (102).jpg,"[[' ', 'l', '7cm 0 21 '], [0.17454115930503633, 0.1591629656971003, 0.8939589660159903]]",0.02085650781263354
98,among (104).jpg,"[['dva', 'gency', 'eting', 'sabotace'], [0.07121770883674085, 0.7603147113851675, 0.4667086697221326, 0.13086690718470173]]",0.016358363398087716
0,among (3).jpg,"[[' 3', 'i m p 0st 0 r', ' 2j'], [0.16360724970924867, 0.10756976555534026, 0.14094567993798596]]",0.013446220694417532
89,among (93).jpg,"[['s'], [0.006710518634335527]]",0.0008388148292919409
82,among (87).jpg,"[['g mong us'], [0.3671314514439737]]",0.0
38,among (66).jpg,"[['tigernu', 'tigecnu'], [0.7094756201863266, 0.47955080777236375]]",0.0
32,among (29).jpg,"[[], []]",0.0
132,among (143).jpg,"[[], []]",0.0
131,among (128).jpg,"[['a'], [0.9995859098046509]]",0.0
130,among (142).jpg,"[[], []]",0.0
129,among (129).jpg,"[[' ilile', '424'], [0.22857434811263214, 0.18337035361121853]]",0.0
33,among (33).jpg,"[[], []]",0.0
44,among (50).jpg,"[[], []]",0.0
27,among (35).jpg,"[['lib'], [0.8203643560409546]]",0.0
53,among (69).jpg,"[[], []]",0.0
124,among (137).jpg,"[[], []]",0.0
55,among (40).jpg,"[[], []]",0.0
56,among (62).jpg,"[[], []]",0.0
121,among (132).jpg,"[[], []]",0.0
30,among (41).jpg,"[[], []]",0.0
136,among (136).jpg,"[[], []]",0.0
119,among (124).jpg,"[[], []]",0.0
23,among (30).jpg,"[[], []]",0.0
138,among (144).jpg,"[[' '], [0.030680484697059862]]",0.0
18,among (22).jpg,"[[], []]",0.0
140,among (149).jpg,"[[], []]",0.0
141,among (150).jpg,"[[], []]",0.0
142,among (152).jpg,"[['type a 12pcs among us', 'height 8 11cm', '5'], [0.9780539950707154, 0.709880137899033, 0.1710122059044119]]",0.0
11,among (16).jpg,"[[], []]",0.0
144,among (155).jpg,"[[], []]",0.0
9,among (12).jpg,"[['xri zijjra  ', 'chenging', ' feee'], [0.10994914732387474, 0.5799440196974017, 0.43108024709999354]]",0.0
8,among (21).jpg,"[[], []]",0.0
6,among (10).jpg,"[[], []]",0.0
5,among (9).jpg,"[[], []]",0.0
3,among (8).jpg,"[[], []]",0.0
58,among (63).jpg,"[[], []]",0.0
59,among (48).jpg,"[[], []]",0.0
85,among (89).jpg,"[['shhhhhhh '], [0.567829060433241]]",0.0
117,among (125).jpg,"[[], []]",0.0
81,among (86).jpg,"[[], []]",0.0
87,among (90).jpg,"[[], []]",0.0
80,among (85).jpg,"[[], []]",0.0
78,among (83).jpg,"[[], []]",0.0
91,among (95).jpg,"[[], []]",0.0
77,among (82).jpg,"[[], []]",0.0
93,among (98).jpg,"[['32'], [0.34468596630395804]]",0.0
94,among (92).jpg,"[['shipping', 'free'], [0.6942610146094461, 0.9997446537017822]]",0.0
95,among (101).jpg,"[[], []]",0.0
76,among (81).jpg,"[[], []]",0.0
1,among (4).jpg,"[['rever sible '], [0.683081498916182]]",0.0
74,among (79).jpg,"[['09'], [0.5091314585491475]]",0.0
99,among (105).jpg,"[[], []]",0.0
100,among (103).jpg,"[['guia del universo', 'rablax'], [0.6870325062283552, 0.5060480554043105]]",0.0
101,among (106).jpg,"[['0 '], [0.10158024839104637]]",0.0
73,among (78).jpg,"[[], []]",0.0
70,among (76).jpg,"[[], []]",0.0
69,among (75).jpg,"[['3'], [0.14206957360352135]]",0.0
105,among (111).jpg,"[[], []]",0.0
67,among (73).jpg,"[[], []]",0.0
66,among (72).jpg,"[['1'], [0.5261938763249105]]",0.0
109,among (120).jpg,"[[], []]",0.0
64,among (44).jpg,"[[], []]",0.0
111,among (121).jpg,"[['f'], [0.11000027478900165]]",0.0
62,among (53).jpg,"[[], []]",0.0
61,among (61).jpg,"[[], []]",0.0
114,among (123).jpg,"[[''], [0.0]]",0.0
115,among (126).jpg,"[[], []]",0.0
60,among (60).jpg,"[[], []]",0.0
75,among (80).jpg,"[[], []]",0.0
